nfilter,t1,t2,t3,t4,t5,label_mad
1556,89.152,68.964,14.608,5.691,7.976,57091
592,37.272,26.732,4.369,2.044,0.822,36680
53,2.004,2.656,0.47,0.3,0.081,18113
21,0.581,1.062,0.241,0.14,1.052,38483
422,17.163,18.957,2.926,2.084,18.085,30033
2251,118.479,95.795,20.811,8.837,21.842,36621
1710,98.14,74.103,15.951,6.263,12.815,39350.5
893,56.54,40.098,7.494,3.978,3.988,132812
231,14.889,10.731,1.643,0.892,0.782,61114
28,1.964,1.643,0.301,0.341,0.05,5998.5
32,0.752,1.393,0.28,0.25,1.513,21850
750,31.12,32.903,5.962,2.595,23.115,30602.5
2522,129.1,103.981,23.926,8.146,21.933,43080
1819,99.823,76.157,17.143,5.641,8.266,48518
781,42.191,32.764,6.443,2.354,1.413,45964
107,4.749,4.869,0.852,0.441,0.12,44748
25,0.842,1.764,0.27,0.351,1.263,46015
582,24.647,26.812,4.339,3.156,22.113,46375
2844,139.59,123.508,26.472,11.492,27.944,56858
2000,111.055,87.84,18.426,7.244,9.949,56770
936,52.061,41.31,8.036,3.266,1.874,52248.5
194,8.927,9.098,1.433,0.781,0.211,33061.5
23,0.57,1.082,0.321,0.15,1.112,26430
573,22.112,25.97,4.158,1.974,25.529,27503
3144,146.794,133.227,29.377,10.901,33.145,36943
2668,129.65,113.851,24.457,9.368,16.432,48717.5
1947,99.232,83.13,18.045,7.004,7.003,45412
720,36.931,31.892,5.642,2.534,1.442,53105
108,5.25,4.99,0.831,0.431,0.201,36274
10,0.671,0.57,0.191,0.13,0.04,21872
22,0.46,0.962,0.251,0.15,1.153,2935.5
407,16.652,17.834,2.895,1.462,18.306,6381
1826,100.695,75.526,17.233,5.611,16.702,9072
1005,58.674,41.46,8.806,3.576,3.416,13905
287,15.299,13.095,2.014,0.992,0.501,20706
39,1.453,1.964,0.391,0.25,0.07,39794
26,0.511,1.122,0.301,0.16,1.152,87955
526,20.921,23.656,3.738,2.495,18.746,94935.5
2280,117.687,96.928,21.121,8.416,20.148,44629.5
1499,84.363,65.637,14.168,5.49,6.052,38893
540,29.768,24.588,3.938,1.954,0.731,39497
36,1.483,1.684,0.341,0.251,0.06,20756.5
20,0.821,0.932,0.2,0.161,0.901,5767
323,14.598,14.278,2.224,1.293,16.862,7517
2163,113.8,88.652,20.049,5.51,26.371,10278
1347,80.556,55.848,12.735,3.838,7.975,10403
514,32.072,21.381,3.697,1.403,1.143,10575
47,2.424,2.245,0.43,0.23,0.06,7517
19,0.471,1.033,0.27,0.12,1.053,8406
417,15.571,18.897,2.916,1.753,20.891,26652
2833,133.287,117.116,25.99,9.077,41.831,52891
2565,128.018,108.74,23.456,8.997,26.832,51826
1993,107.608,92.509,18.546,7.675,14.778,64828
1192,70.686,53.834,11.111,4.829,3.577,47554
378,19.328,17.724,2.595,1.453,0.541,43641
27,1.072,1.273,0.331,0.17,0.05,35954
30,0.622,1.593,0.311,0.23,1.323,2069
456,19.718,19.508,3.216,1.783,17.695,6647
1626,90.224,67.721,15.199,3.487,21.121,13892.5
1027,63.182,42.813,9.118,2.646,5.37,15776
332,19.388,14.117,2.294,0.952,0.691,15607
51,2.054,2.115,0.48,0.25,0.211,12986
16,0.551,1.113,0.19,0.12,0.04,3683
31,0.721,1.353,0.311,0.14,1.433,4892
631,26.341,26.742,4.929,1.613,23.937,15720
2266,115.934,90.815,20.971,6.112,22.864,38455.5
1660,92.028,69.614,15.48,5.199,7.755,47527.5
813,42.412,36.801,6.602,2.805,1.713,43066
153,7.064,7.535,1.162,0.622,0.16,57899
28,0.681,1.323,0.271,0.181,1.303,22243
643,24.548,30.228,4.949,2.284,19.759,35746
2711,132.757,118.249,24.838,9.559,24.217,35834
1861,94.703,81.357,17.414,6.412,9.267,37728
1026,53.764,45.398,9.389,3.547,3.947,40550
421,20.55,19.558,2.956,1.372,0.891,44816
51,2.004,2.786,0.49,0.3,0.171,44252
21,0.671,0.902,0.25,0.12,0.04,11016
16,0.291,0.791,0.19,0.17,0.822,9243
269,13.116,12.574,1.883,1.894,11.111,26589
1993,123.539,85.245,18.426,7.214,21.02,31336
1282,101.846,55.166,12.074,4.198,4.559,24682
400,27.443,17.614,2.806,1.393,0.832,21943.5
61,2.966,2.786,0.531,0.26,0.081,51988
20,0.481,0.881,0.201,0.15,0.932,19570.5
368,14.899,17.314,2.555,1.423,14.468,27210
1957,104.402,89.794,18.215,7.855,18.796,34174
1169,68.924,62.751,11.121,4.639,4.478,34175
375,19.598,19.147,2.625,1.423,0.691,34076
49,2.034,3.086,0.441,0.261,0.17,49969
22,0.611,1.112,0.26,0.15,0.051,6753.5
29,0.651,1.673,0.301,0.19,1.383,7160
646,26.121,27.893,4.909,2.865,17.754,13859.5
2553,130.442,104.773,23.376,8.436,26.712,17088
1527,94.483,64.445,14.468,5.35,12.284,19086
783,49.416,33.725,6.333,2.535,2.535,21580
214,11.582,9.388,1.523,0.781,0.321,15783.5
14,0.581,0.882,0.2,0.121,0.04,12032
30,0.721,1.283,0.3,0.181,1.402,22708
732,28.465,33.765,5.752,2.525,23.165,84600
3018,144.871,128.959,27.954,10.46,26.461,52584.5
2507,127.587,106.646,23.065,8.496,16.843,45453
1558,83.582,68.081,14.659,5.681,5.821,48985
588,29.567,27.464,4.348,2.385,1.252,47181.5
135,5.46,6.743,1.043,0.552,0.17,56945
21,0.48,1.082,0.261,0.14,1.042,29853
427,17.815,19.277,2.976,1.974,19.658,35524
2301,117.988,96.317,21.211,8.145,22.784,59124
1450,82.68,62.962,13.606,4.699,5.841,60091
527,28.565,23.826,3.747,2.525,1.062,48678
56,2.796,2.705,0.461,0.261,0.08,57510
25,0.592,1.072,0.28,0.14,1.082,2169
549,21.562,22.864,3.988,1.633,20.129,4149
2021,108.209,81.568,18.806,3.667,20.71,5987
1107,69.123,45.398,10.21,2.594,5.48,13545
422,24.658,18.677,2.956,1.073,0.641,28393.5
31,1.202,1.312,0.351,0.18,0.049,42998
15,0.241,0.801,0.191,0.15,0.711,19491
314,12.274,14.337,2.185,1.262,15.8,33226.5
2425,120.853,115.663,22.603,8.968,27.603,37399
1566,87.459,70.156,14.678,5.951,6.342,40953
450,27.233,20.42,3.116,2.034,0.861,47064.5
33,1.823,1.532,0.371,0.191,0.18,60415
9,0.441,0.521,0.151,0.32,0.03,8856
25,0.611,1.103,0.26,0.131,1.192,23185
543,21.672,22.533,3.908,2.194,26.291,22575
2156,113.369,88.681,19.949,6.632,19.928,17773.5
1113,65.928,45.688,10.331,3.507,4.098,14021
