nfilter,t1,t2,t3,t4,t5
619,26.612,30.84,4.92,3.066,21.041
2320,118.889,108.73,21.461,8.556,17.915
1399,76.207,65.857,13.295,5.5,5.681
622,30.759,30.419,4.949,2.505,1.603
166,7.325,8.476,1.233,0.681,0.181
27,0.752,1.202,0.32,0.16,1.282
572,22.975,25.059,4.398,2.325,19.668
2578,127.896,109.762,23.636,9.068,17.805
1475,81.718,64.013,13.907,4.959,4.258
408,20.409,18.385,2.846,2.024,1.022
116,4.829,5.251,0.872,0.43,0.151
13,0.23,0.671,0.16,0.13,0.621
292,10.239,14.408,2.024,1.051,12.975
2317,117.597,110.142,21.481,7.484,24.808
1315,77.189,71.818,12.333,3.638,5.46
442,25.249,22.674,3.226,1.914,0.701
35,1.723,1.763,0.371,0.16,0.06
27,0.732,1.262,0.271,0.14,1.313
644,26.461,27.864,5.12,1.303,22.433
2771,133.057,112.687,25.329,6.593,28.365
2112,111.585,84.543,19.629,4.559,10.591
963,53.293,40.368,8.536,2.725,2.484
242,11.532,11.092,1.693,0.561,0.381
16,0.631,0.742,0.19,0.12,0.04
12,0.351,0.872,0.16,0.12,0.621
216,8.025,9.408,1.503,1.022,11.593
1744,97.828,71.328,16.662,4.098,24.287
543,42.181,23.415,4.138,1.683,2.555
132,9.238,6.012,0.992,0.361,0.16
25,0.561,1.062,0.26,0.05,1.072
479,20.63,19.448,3.547,0.882,19.247
1480,89.012,58.633,13.907,2.274,13.005
548,37.722,22.383,4.259,1.332,0.922
31,2.094,1.363,0.33,0.21,0.06
17,0.38,0.46,0.23,0.04,0.751
328,13.526,12.233,2.515,0.42,17.463
1379,86.287,50.778,12.865,2.214,20.239
435,37.893,17.404,3.126,0.751,1.814
38,3.527,1.603,0.331,0.21,0.08
8,0.24,0.351,0.13,0.05,0.431
126,4.829,5.3,0.962,0.28,5.23
1737,94.271,69.243,16.071,3.446,24.477
782,50.597,31.301,6.572,1.654,3.707
172,11.753,7.214,1.262,0.451,0.271
2,0.3,0.07,0.17,0.03,0.04
27,0.692,1.593,0.281,0.14,1.262
556,27.263,23.095,4.078,1.983,22.022
1801,123.318,70.607,16.792,3.898,21.752
905,72.199,36.33,7.865,2.214,4.82
253,21.481,10.54,1.804,1.103,0.601
13,0.721,0.921,0.201,0.13,0.05
29,0.732,1.573,0.31,0.131,1.282
550,23.576,26.381,4.128,1.212,17.995
1652,91.537,76.898,15.51,2.585,19.137
806,56.989,36.099,6.843,1.392,6.472
202,18.095,8.276,1.462,0.221,1.012
19,2.044,0.942,0.26,0.06,0.041
24,0.561,1.052,0.221,0.13,1.072
361,16.291,14.838,2.515,1.093,19.658
1482,85.464,60.837,13.907,4.328,12.103
677,41.951,27.965,5.51,2.144,1.673
143,7.214,6.703,1.072,0.431,0.321
11,0.441,0.521,0.18,0.191,0.04
28,0.561,1.333,0.27,0.131,1.272
592,24.337,26.041,4.639,1.933,24.116
2270,117.146,96.266,21.02,7.254,21.342
1440,89.422,63.302,13.436,4.719,5.791
378,22.283,17.022,2.646,1.233,0.772
47,2.364,2.345,0.441,0.24,0.08
22,0.531,1.212,0.27,0.12,1.071
481,18.585,21.261,3.507,1.073,21.2
2161,111.555,86.166,19.999,4.89,20.249
1299,76.077,52.491,12.344,3.337,5.621
374,22.553,16.181,2.635,0.781,1.122
59,3.396,2.414,0.55,0.171,0.09
31,0.922,1.352,0.301,0.15,1.372
454,19.999,19.477,3.256,1.122,19.578
1403,81.457,57.15,13.155,3.768,12.604
422,31.601,17.254,3.016,1.202,1.423
65,4.058,2.976,0.591,0.171,0.17
0,0.22,0.02,0.04,0.03,0.03
32,0.812,1.463,0.3,0.22,1.463
728,29.887,31.871,6.232,3.397,25.549
2425,121.445,103.6,22.212,9.177,21.251
1305,76.287,56.699,12.114,5.11,4.298
313,18.596,14.337,2.174,1.162,0.681
