nfilter,t1,t2,t3,t4,t5,label_mad
651,26.251,29.126,5.341,1.863,24.788
1309,64.585,56.369,12.053,3.637,16.181
1251,64.304,55.377,11.442,4.128,6.883
766,38.284,34.446,6.522,2.865,2.154
215,10.721,10.481,1.573,0.771,0.401
26,1.052,1.132,0.28,0.18,0.06
26,0.521,1.453,0.251,0.17,1.102
573,21.622,26.892,4.589,2.355,19.898
1539,72.55,77.44,14.448,5.671,22.002
1052,57.08,49.806,9.558,4.028,6.082
582,30.358,27.112,4.639,2.615,1.523
124,6.613,5.892,0.921,0.602,0.27
13,0.551,0.671,0.18,0.12,0.04
19,0.531,0.852,0.27,0.14,0.911
396,15.279,17.384,2.855,1.091,15.94
1465,71.878,59.746,13.816,3.677,20.78
1227,62.22,53.032,11.402,3.918,8.236
1046,53.613,48.533,9.388,3.968,2.835
313,15.18,15.42,2.244,1.423,0.862
98,4.328,5.059,0.772,0.451,0.36
49,1.743,2.505,0.451,0.231,0.071
22,0.551,0.901,0.25,0.131,1.062
426,17.594,17.884,3.236,1.152,19.598
1194,64.674,50.127,10.91,3.326,19.678
1104,60.627,47.902,10.099,3.637,5.661
675,35.028,30.489,5.781,2.004,1.713
211,9.708,10.33,1.532,0.911,0.32
19,0.682,0.902,0.271,0.13,0.16
10,0.43,0.521,0.19,0.29,0.04
19,0.481,0.932,0.211,0.121,0.902
371,14.467,17.463,2.706,1.112,14.688
1378,66.519,63.122,12.905,3.807,21.051
1094,59.304,50.037,9.949,2.856,8.125
914,48.343,42.602,8.026,2.895,3.607
404,20.811,18.987,2.905,1.273,1.102
79,3.527,3.767,0.672,0.4,0.1
26,0.501,1.192,0.28,0.481,1.132
396,16.752,17.243,2.956,1.422,21.451
763,43.895,33.194,6.483,2.374,12.795
580,38.715,25.649,4.588,1.613,1.743
114,6.503,5.471,0.861,0.47,0.271
16,0.511,0.772,0.19,0.04,0.04
19,0.531,0.882,0.24,0.131,0.821
431,16.412,21.472,3.236,1.533,18.335
1562,71.577,74.934,14.769,4.979,24.227
1174,61.408,55.657,10.691,3.397,9.037
778,40.889,36.32,6.743,2.295,1.302
44,2.494,2.305,0.401,0.24,0.14
20,0.691,1.002,0.23,0.12,0.05
26,0.551,1.423,0.3,0.15,1.152
583,23.686,28.956,4.739,2.605,28.094
1442,68.652,69.434,13.466,5.03,13.957
1246,64.134,59.515,11.472,4.188,4.829
451,22.753,21.441,3.357,1.583,1.342
132,5.741,6.382,1.002,0.441,0.311
20,0.631,0.942,0.22,0.181,0.05
31,0.621,1.863,0.341,0.16,1.343
701,28.124,34.326,5.901,3.056,31.09
1485,69.504,69.705,13.927,5.03,28.155
1166,63.553,54.846,10.591,4.258,8.366
701,40.468,33.294,6.422,2.525,1.272
