nfilter,t1,t2,t3,t4,t5,label_mad
1521,85.976,0,0,82.811,7.855,214089
809,45.558,0,0,44.706,2.836,218971
266,13.215,0,0,15.26,0.751,226540
82,3.346,0,0,4.439,0.21,215206
6,0.381,0,0,0.431,0.04,217772
16,0.37,0,0,1.022,0.832,311962
372,14.337,0,0,21.542,18.325,298306
2715,138.377,0,0,148.718,27.914,291223
1972,113.129,0,0,110.133,14.218,283970
1069,62.902,0,0,60.818,3.216,273361
366,19.237,0,0,20.921,0.742,256018
46,2.475,0,0,2.614,0.13,323987
7,0.451,0,0,0.511,0.03,35161
26,0.662,0,0,1.452,1.082,226259
580,23.625,0,0,32.583,23.115,241113
2554,130.342,0,0,141.032,24.557,242411
2208,119.111,0,0,124.241,16.211,229689
1314,76.067,0,0,75.546,5.05,212129
377,22.684,0,0,21.903,0.841,221836
54,2.685,0,0,2.986,0.08,187471
20,0.471,0,0,1.172,0.932,200174
264,11.532,0,0,15.1,14.648,251759
1019,67.861,0,0,55.166,17.975,205875
421,37.914,0,0,23.566,4.388,190055
169,13.346,0,0,10.059,0.501,283009
25,1.323,0,0,1.433,0.06,92361
27,0.671,0,0,1.824,1.193,210096
579,24.217,0,0,33.154,23.095,237498
2421,127.046,0,0,133.949,20.851,235884
1646,94.152,0,0,92.028,8.447,213272
765,42.773,0,0,43.224,1.363,232069
65,3.056,0,0,3.937,0.181,166316
11,0.511,0,0,0.621,0.029,287961
20,0.531,0,0,1.122,0.882,119688
356,14.749,0,0,20.65,16.242,221672
1677,103.681,0,0,94.773,15.289,224384
832,53.964,0,0,46.841,2.826,221507
170,10.691,0,0,9.539,0.251,201650
1,0.281,0,0,0.15,0.03,0
20,0.541,0,0,1.103,0.902,132322
236,11.152,0,0,13.506,12.645,189678
1002,66.499,0,0,55.318,12.824,190770
289,27.062,0,0,16.863,2.125,177145
65,5.721,0,0,3.727,0.1,206502
22,0.571,0,0,1.202,1.082,88408
413,16.782,0,0,23.475,16.872,149462
1864,104.472,0,0,102.979,20.669,176744
1095,73.081,0,0,62.34,7.355,225339
509,31.681,0,0,29.007,1.783,261230
95,5.621,0,0,5.541,0.13,217957
29,0.732,0,0,1.833,1.473,209448
465,20.82,0,0,26.451,19.578,281834
1288,82.349,0,0,71.709,10.881,268921
433,31.942,0,0,25.069,0.992,270282
42,2.645,0,0,2.665,0.07,189644
16,0.311,0,0,0.942,0.751,67299
292,11.863,0,0,17.264,13.716,223950
2086,112.969,0,0,115.183,23.205,238208
1365,82.71,0,0,77.029,9.589,264839
766,45.999,0,0,44.085,1.974,236562
156,8.547,0,0,9.098,0.4,241600
24,1.153,0,0,1.302,0.05,31355.5
31,0.681,0,0,1.834,1.413,283829
525,23.735,0,0,29.708,22.293,260104
1342,84.374,0,0,74.334,13.686,274064
603,43.465,0,0,33.995,2.064,262925
142,8.416,0,0,8.747,0.411,264708
29,1.382,0,0,1.864,0.07,287886
13,0.34,0,0,0.741,0.682,217416
215,8.777,0,0,12.283,11.142,231991
1575,93.2,0,0,88.04,19.659,263169
874,58.424,0,0,49.766,3.477,257836
207,13.065,0,0,11.973,0.231,261531
18,0.461,0,0,1.132,0.851,214874
347,13.797,0,0,20.279,16.272,213214
2008,111.937,0,0,110.815,19.157,227092
1043,69.014,0,0,59.515,4.208,256706
259,17.233,0,0,14.688,0.781,252955
28,1.863,0,0,1.613,0.051,259645
25,0.641,0,0,1.523,1.222,44908
509,22.003,0,0,29.067,20.279,176306
2214,122.227,0,0,125.463,19.097,222172
1586,90.405,0,0,87.86,8.216,235778
763,44.095,0,0,43.795,2.545,253673
223,11.763,0,0,13.055,0.331,228096
12,0.581,0,0,0.751,0.04,189148
21,0.552,0,0,1.223,0.932,185922
320,14.017,0,0,17.874,16.703,201848
1055,69.805,0,0,57.372,17.924,179817
520,40.379,0,0,29.427,4.539,178502
145,13.075,0,0,8.446,0.291,163877
2,0.32,0,0,0.21,0.03,30369
25,0.692,0,0,1.703,1.142,139707
418,18.436,0,0,23.947,19.287,249932
1720,97.82,0,0,94.493,20.079,260340
1010,67.401,0,0,55.838,6.001,270183
255,20.77,0,0,14.759,0.701,237165
31,1.503,0,0,1.843,0.05,131187
12,0.341,0,0,0.932,0.611,212618
275,10.099,0,0,15.029,13.576,198834
2779,139.75,0,0,146.564,32.242,228814
