nfilter,t1,t2,t3,t4,t5,label_mad
23,0.591,0,0,1.674,1.112,13417
529,20.89,0,0,29.437,18.856,19109
2579,127.527,0,0,133.868,22.554,27142
1829,95.414,0,0,98.261,7.013,52119
826,42.282,0,0,45.668,1.744,49213
199,8.817,0,0,11.602,0.901,61138
117,4.97,0,0,6.934,0.311,27684
32,1.112,0,0,2.064,0.06,62091
16,0.28,0,0,0.922,0.802,9243
252,15.711,0,0,16.692,11.583,25109
1964,144.09,0,0,119.03,22.173,32292
1318,120.554,0,0,78.502,5.411,25164
447,33.735,0,0,26.361,0.791,24844
50,2.265,0,0,2.996,0.08,68578
16,0.33,0,0,0.952,0.791,11967.5
317,12.885,0,0,18.045,16.933,15126
1878,100.885,0,0,97.659,25.689,21288
1633,94.093,0,0,85.376,14.247,42202
1266,71.79,0,0,68.513,5.911,30930
465,26.762,0,0,25.97,1.103,24188
54,2.926,0,0,3.056,0.08,32427.5
25,0.611,0,0,1.383,1.192,18760
493,24.768,0,0,29.647,16.432,23876
2457,153.838,0,0,133.218,30.709,20765
1677,120.644,0,0,88.611,14.929,19552
891,68.032,0,0,47.892,2.996,24043
180,11.262,0,0,9.91,0.201,18814
21,0.541,0,0,1.333,1.002,21422
527,20.56,0,0,29.417,17.504,24059
3191,147.395,0,0,166.502,30.508,31764
2891,144.399,0,0,151.453,22.653,60275
2275,119.452,0,0,120.834,12.123,41396
1313,69.916,0,0,70.897,5.381,41851
590,30.259,0,0,33.074,1.693,35409
171,8.756,0,0,9.939,0.721,15743
94,3.848,0,0,5.671,0.11,40884
20,0.571,0,0,1.443,1.052,19599.5
365,14.187,0,0,20.58,17.965,39619
2256,112.748,0,0,119.331,23.896,54733.5
1574,89.473,0,0,84.564,7.164,61507.5
583,32.293,0,0,32.262,0.991,51197
67,2.866,0,0,3.777,0.1,31071
31,0.691,0,0,1.673,1.493,1744
481,28.375,0,0,24.648,20.179,4174
1476,85.526,0,0,76.549,12.694,6638
